"";"Trial";"N";"E";"O";"A";"C";"Coercion";"Proximity"
"1";1;0;1;5;1;0;0;26
"2";2;0;2;4;1;0;0;13
"3";3;0;3;7;6;0;0;15
"4";4;0;3;2;7;0;0;13
"5";5;0;2;5;10;0;0;9
"6";6;0;3;3;9;0;0;6
"7";7;0;6;2;6;1;0;4
"8";8;0;5;5;4;0;0;2
"9";9;0;3;5;6;0;0;6
"10";10;0;5;3;7;0;0;4
"11";11;0;4;6;5;0;0;1
"12";12;0;4;3;7;0;0;0
"13";13;1;2;3;3;0;0;0
"14";14;0;1;4;5;0;0;0
"15";15;0;5;3;3;1;0;0
"16";16;3;7;2;5;2;0;1
"17";17;2;2;4;4;3;1;0
"18";18;0;6;3;3;5;1;0
"19";19;2;3;2;2;0;2;0
"20";20;1;5;5;4;3;2;0
"21";21;7;5;2;1;5;2;0
"22";22;8;2;6;0;6;6;0
"23";23;8;3;3;0;6;4;0
"24";24;7;6;1;1;10;7;0
"25";25;13;2;3;0;12;5;0
"26";26;12;4;2;0;17;18;0
"27";27;17;2;2;0;18;29;0
"28";28;19;4;5;0;11;23;0
"29";29;0;0;0;0;0;0;0
